tripduration,usertype
48.46975309,member
40.94455782,member
40.9040404,member
10.4613747,member
51.01505102,member
-13.75369128,member
33.80010101,member
27.01111111,member
42.50740741,member
-55.37638889,member
37.21210317,member
35.05429293,member
26.54655172,member
40.56097561,member
31.01851852,member
151.7428571,member
46.03888889,member
15.88157895,member
20.69335749,member
24.13165266,member
25.44062078,member
25.39856322,member
23.92483364,member
12.755,member
3.140985325,member
3.251171875,member
29.15954416,member
87.12424242,member
29.84166667,member
33.90448029,member
15.94027778,member
42.68857143,member
-14.31203704,member
78.01102151,member
45.24301075,member
43.55238095,member
36.13333333,member
77.69911243,member
29.50666667,member
31.693379,member
49.72208589,member
43.17523474,member
38.84047619,member
39.69824561,member
25.41502301,member
23.13785569,member
22.02205674,member
32.48953647,member
36.87521848,member
40.19133858,member
-9.932830189,member
-8.559887006,member
32.02443461,member
16.29148936,member
5.651701183,member
23.31975309,member
1.9466,member
33.525,member
61.53401361,member
12.92619048,member
74.01166667,member
6.901456311,member
2.850364964,member
21.46860215,member
43.35668605,member
-50.66190476,member
45.92245614,member
46.75877193,member
20.23868809,member
33.80468085,member
29.0198324,member
37.19342857,member
17.77723214,member
14.94348371,member
35.73333333,member
60.67546296,member
37.625,member
8.484946237,member
34.10734463,member
39.12348485,member
9.4765,member
-113.0313131,member
18.43095238,member
4.344871795,member
63.25615385,member
34.92108434,member
38.46930064,member
21.14905303,member
78.56166667,member
46.49583333,member
71.85555556,member
23.45,member
58.61111111,member
57.3952381,member
42.00914634,member
57.2925,member
43.99924242,member
-5.938333333,member
77.10636704,member
81.37295082,member
20.20490196,member
48.7773224,member
67.70038536,member
61.24372428,member
16.24903846,member
14.0125,member
22.02444444,member
22.05977842,member
28.63375,member
28.5704386,member
23.90797721,member
8.815028902,member
33.11960168,member
31.69168096,member
24.84385965,member
27.49028698,member
40.4714565,member
44.82952381,member
29.44404524,member
16.31437055,member
25.15355556,member
27.30499058,member
35.353663,member
64.12741935,member
13.17368159,member
25.00781787,member
19.08092784,member
58.34202899,member
40.68377193,member
-4.619763206,member
30.34597538,member
45.80481481,member
30.96281497,member
42.95228758,member
57.13821839,member
21.49919786,member
15.86318408,member
28.44602228,member
30.45535714,member
-42.65378788,member
47.17318841,member
-39.06040788,member
33.87773333,member
44.10362319,member
26.57723577,member
49.54551282,member
27.15805243,member
25.1812249,member
32.07951389,member
47.16319444,member
25.83821138,member
51.92468468,member
48.02111111,member
-28.5867284,member
2.362535613,member
48.31,member
