,Maturity,Alcohol,Tannin,Anthocyanin,MaxTPP
unripe,20,20,960,372,165.093
unripe,20,20,992,462,217.103
unripe,20,20,968,441,179.829
ripe,24,24,775,830,312.115
ripe,24,24,916,787,335.241
ripe,24,24,1131,772,279.351
overripe,28,28,957,791,306.84
overripe,28,28,928,764,370.494
overripe,28,28,1180,772,333.792
unripe,20,24,1035,396,221.829
unripe,20,24,968,386,198.664
unripe,20,24,951,351,184.039
unripe,20,28,1153,267,194.302
unripe,20,28,1256,321,248.712
unripe,20,28,1369,341,277.33
ripe,24,20,612,723,254.578
ripe,24,20,779,799,289.603
ripe,24,20,804,884,281.63
ripe,24,28,898,804,302.267
ripe,24,28,1067,803,337.433
ripe,24,28,991,751,321.697
overripe,28,20,793,724,296.013
overripe,28,20,691,708,280.003
overripe,28,20,747,653,289.738
overripe,28,24,908,830,354.583
overripe,28,24,973,794,321.207
overripe,28,24,854,741,344.136
